"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法异常用例:32/hello","
        计算器进阶功能的异常处理用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言errinfo.type is TypeError 或者errinfo.type is ZeroDivisionError。
        因为输入中a或者b中包含一些无效的非整数输入，应该抛出TypeError。
        且被除数为0时抛出的异常应该为ZeroDivisionError。
        用异常捕获的方法来判断的异常是否符合预期，对于其他异常将抛出失败。
        c变量用参数化来传入异常类型。
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法异常场景：hello+0","
        计算器进阶功能的异常处理用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言errinfo.type is TypeError
        因为输入中a或者b中包含一些无效的非整数输入，应该抛出TypeError。
        用异常捕获的方法来判断的异常是否符合预期，对于其他异常将抛出失败。
        c变量用参数化来传入异常类型。
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：-98.99/1","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法测试用例：0+-98.99","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"skipped","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法无效场景：hello+None","
        计算器进阶功能的无效用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        因为输入中a或者b中包含一些无效的非整数输入，
        所以用例将会失败。用xfail进行标记。
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","1","","计算器实战L2","Test","","","除法异常用例:hello/65","
        计算器进阶功能的异常处理用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言errinfo.type is TypeError 或者errinfo.type is ZeroDivisionError。
        因为输入中a或者b中包含一些无效的非整数输入，应该抛出TypeError。
        且被除数为0时抛出的异常应该为ZeroDivisionError。
        用异常捕获的方法来判断的异常是否符合预期，对于其他异常将抛出失败。
        c变量用参数化来传入异常类型。
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法测试用例：0+-100","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法测试用例：99.0+0","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：1/-98.99","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"skipped","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法无效场景：None+中文","
        计算器进阶功能的无效用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        因为输入中a或者b中包含一些无效的非整数输入，
        所以用例将会失败。用xfail进行标记。
        "
"skipped","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法无效用例:0/None","
        计算器进阶功能的无效用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        因为输入中a或者b中包含一些无效的非整数输入，
        所以用例将会失败。用xfail进行标记。
        "
"skipped","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","1","","计算器实战L2","Test","","","除法无效用例:None/55","
        计算器进阶功能的无效用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        因为输入中a或者b中包含一些无效的非整数输入，
        所以用例将会失败。用xfail进行标记。
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：1/99.1","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：1/99","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"skipped","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","1","","计算器实战L2","Test","","","除法无效用例:32/hello","
        计算器进阶功能的无效用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        因为输入中a或者b中包含一些无效的非整数输入，
        所以用例将会失败。用xfail进行标记。
        "
"skipped","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法无效用例:None/中文","
        计算器进阶功能的无效用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        因为输入中a或者b中包含一些无效的非整数输入，
        所以用例将会失败。用xfail进行标记。
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","1","","计算器实战L2","Test","","","加法测试用例：0+99.1","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法异常场景：0+$%%^&*","
        计算器进阶功能的异常处理用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言errinfo.type is TypeError
        因为输入中a或者b中包含一些无效的非整数输入，应该抛出TypeError。
        用异常捕获的方法来判断的异常是否符合预期，对于其他异常将抛出失败。
        c变量用参数化来传入异常类型。
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","1","","计算器实战L2","Test","","","加法测试用例：0+98.99","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：-100/1","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"skipped","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法无效场景：中文+0","
        计算器进阶功能的无效用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        因为输入中a或者b中包含一些无效的非整数输入，
        所以用例将会失败。用xfail进行标记。
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：-99.1/1","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：1/100","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","1","","计算器实战L2","Test","","","除法测试用例：100/1","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","1","","计算器实战L2","Test","","","除法测试用例：99.1/1","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"skipped","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","1","","计算器实战L2","Test","","","加法无效场景：$%%^&*+中文","
        计算器进阶功能的无效用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        因为输入中a或者b中包含一些无效的非整数输入，
        所以用例将会失败。用xfail进行标记。
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：1/98.99","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","1","","计算器实战L2","Test","","","加法异常场景：$%%^&*+0","
        计算器进阶功能的异常处理用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言errinfo.type is TypeError
        因为输入中a或者b中包含一些无效的非整数输入，应该抛出TypeError。
        用异常捕获的方法来判断的异常是否符合预期，对于其他异常将抛出失败。
        c变量用参数化来传入异常类型。
        "
"skipped","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法无效场景：None+0","
        计算器进阶功能的无效用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        因为输入中a或者b中包含一些无效的非整数输入，
        所以用例将会失败。用xfail进行标记。
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法测试用例：-98.99+0","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：-99/1","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：55/5.5","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法异常场景：$%%^&*+中文","
        计算器进阶功能的异常处理用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言errinfo.type is TypeError
        因为输入中a或者b中包含一些无效的非整数输入，应该抛出TypeError。
        用异常捕获的方法来判断的异常是否符合预期，对于其他异常将抛出失败。
        c变量用参数化来传入异常类型。
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法测试用例：0+-99","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","1","","计算器实战L2","Test","","","加法测试用例：99+0","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:51 CST 2024","Sat Feb 17 15:01:51 CST 2024","0","","计算器实战L2","Test","","","加法测试用例：-60.4+5.5","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：-60/-30","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:51 CST 2024","Sat Feb 17 15:01:51 CST 2024","1","","计算器实战L2","Test","","","加法测试用例：-30+-60","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","1","","计算器实战L2","Test","","","加法测试用例：0+100","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","1","","计算器实战L2","Test","","","除法测试用例：99/1","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法测试用例：-99.1+0","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：0/34","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：1/99.0","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:53 CST 2024","Sat Feb 17 15:01:53 CST 2024","0","","计算器实战L2","Test","","","除法异常用例:hello/$%%^&*","
        计算器进阶功能的异常处理用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言errinfo.type is TypeError 或者errinfo.type is ZeroDivisionError。
        因为输入中a或者b中包含一些无效的非整数输入，应该抛出TypeError。
        且被除数为0时抛出的异常应该为ZeroDivisionError。
        用异常捕获的方法来判断的异常是否符合预期，对于其他异常将抛出失败。
        c变量用参数化来传入异常类型。
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法测试用例：-99.0+0","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法测试用例：-100+0","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法测试用例：0+-99.1","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","1","","计算器实战L2","Test","","","加法测试用例：0+99","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：0.5/2.5","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"skipped","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","加法无效场景：hello+0","
        计算器进阶功能的无效用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        因为输入中a或者b中包含一些无效的非整数输入，
        所以用例将会失败。用xfail进行标记。
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法异常用例:中文/6","
        计算器进阶功能的异常处理用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言errinfo.type is TypeError 或者errinfo.type is ZeroDivisionError。
        因为输入中a或者b中包含一些无效的非整数输入，应该抛出TypeError。
        且被除数为0时抛出的异常应该为ZeroDivisionError。
        用异常捕获的方法来判断的异常是否符合预期，对于其他异常将抛出失败。
        c变量用参数化来传入异常类型。
        "
"passed","Sat Feb 17 15:01:51 CST 2024","Sat Feb 17 15:01:51 CST 2024","1","","计算器实战L2","Test","","","加法测试用例：0+1000","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"passed","Sat Feb 17 15:01:51 CST 2024","Sat Feb 17 15:01:51 CST 2024","0","","计算器实战L2","Test","","","加法测试用例：5.5+0.1","
        计算器基础功能的加法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a+b
        步骤二：
        断言a+b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
"skipped","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","1","","计算器实战L2","Test","","","除法无效用例:0/$%%^&*","
        计算器进阶功能的无效用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        因为输入中a或者b中包含一些无效的非整数输入，
        所以用例将会失败。用xfail进行标记。
        "
"passed","Sat Feb 17 15:01:52 CST 2024","Sat Feb 17 15:01:52 CST 2024","0","","计算器实战L2","Test","","","除法测试用例：1/98","
        计算器基础功能的除法用例。
        使用数据参数化的方法,调用getdate函数获取用例的参数。
        步骤一：
        计算a/b
        步骤二：
        断言a/b==c
        超出范围的无效输入返回 参数大小超出范围
        参数大小超出范围 亦由参数化带入c变量中
        "
